FID,Lat,Long,Dry_days,Wet_days,Class_1_days,Class_2_days,Class_3_days,Class_4_days,Class_5_days
0,28.75,80.0,256,110,256,65,39,6,0
1,29.0,79.25,283,83,283,60,23,0,0
2,29.0,79.5,326,40,326,26,13,1,0
3,29.0,79.75,267,99,267,55,34,10,0
4,29.0,80.0,253,113,253,69,41,3,0
5,29.25,79.0,266,100,266,58,37,5,0
6,29.25,79.25,260,106,260,62,42,2,0
7,29.25,79.5,258,108,258,56,51,1,0
8,29.25,79.75,254,112,254,74,38,0,0
9,29.25,80.0,245,121,245,91,29,1,0
10,29.25,80.25,238,128,238,80,46,2,0
11,29.5,78.75,275,91,275,53,34,4,0
12,29.5,79.0,257,109,257,61,42,5,1
13,29.5,79.25,247,119,247,56,60,3,0
14,29.5,79.5,254,112,254,51,56,5,0
15,29.5,79.75,249,117,249,75,42,0,0
16,29.5,80.0,268,98,268,56,40,2,0
17,29.5,80.25,236,130,236,72,54,4,0
18,29.75,78.0,271,95,271,60,33,2,0
19,29.75,78.25,268,98,268,86,12,0,0
20,29.75,78.5,268,98,268,49,43,6,0
21,29.75,78.75,244,122,244,69,52,1,0
22,29.75,79.0,248,118,248,69,48,1,0
23,29.75,79.25,257,109,257,67,42,0,0
24,29.75,79.5,268,98,268,75,23,0,0
25,29.75,79.75,256,110,256,79,31,0,0
26,29.75,80.0,246,120,246,70,47,3,0
27,29.75,80.25,232,134,232,72,54,6,2
28,30.0,77.75,267,99,267,73,24,2,0
29,30.0,78.0,267,99,267,58,38,2,1
30,30.0,78.25,248,118,248,64,48,6,0
31,30.0,78.5,243,123,243,73,50,0,0
32,30.0,78.75,245,121,245,94,27,0,0
33,30.0,79.0,236,130,236,82,47,1,0
34,30.0,79.25,235,131,235,87,44,0,0
35,30.0,79.5,240,126,240,101,25,0,0
36,30.0,79.75,255,111,255,78,33,0,0
37,30.0,80.0,257,109,257,59,46,4,0
38,30.0,80.25,232,134,232,73,53,6,2
39,30.0,80.5,231,135,231,74,54,5,2
40,30.25,78.0,242,124,242,82,37,4,1
41,30.25,78.25,246,120,246,66,52,2,0
42,30.25,78.5,260,106,260,91,15,0,0
43,30.25,78.75,248,118,248,99,19,0,0
44,30.25,79.0,237,129,237,79,49,1,0
45,30.25,79.25,227,139,227,89,49,1,0
46,30.25,79.5,223,143,223,102,40,1,0
47,30.25,79.75,247,119,247,91,27,1,0
48,30.25,80.0,248,118,248,69,45,4,0
49,30.25,80.25,242,124,242,71,48,4,1
50,30.25,80.5,234,132,234,72,53,6,1
51,30.25,80.75,233,133,233,74,51,6,2
52,30.25,81.0,232,134,232,69,56,7,2
53,30.5,78.0,224,142,224,66,74,2,0
54,30.5,78.25,242,124,242,83,37,4,0
55,30.5,78.5,238,128,238,90,36,2,0
56,30.5,78.75,202,164,202,119,45,0,0
57,30.5,79.0,228,138,228,81,51,6,0
58,30.5,79.25,225,141,225,100,40,1,0
59,30.5,79.5,237,129,237,91,37,1,0
60,30.5,79.75,234,132,234,94,37,1,0
61,30.5,80.0,234,132,234,97,34,1,0
62,30.5,80.25,229,137,229,85,46,6,0
63,30.75,77.75,246,120,246,69,48,3,0
64,30.75,78.0,228,138,228,94,40,4,0
65,30.75,78.25,241,125,241,72,48,5,0
66,30.75,78.5,224,142,224,97,45,0,0
67,30.75,78.75,208,158,208,107,51,0,0
68,30.75,79.0,196,170,196,117,52,1,0
69,30.75,79.25,218,148,218,105,42,1,0
70,30.75,79.5,224,142,224,103,38,1,0
71,30.75,79.75,229,137,229,97,39,1,0
72,30.75,80.0,231,135,231,98,36,1,0
73,31.0,78.0,219,147,219,104,40,3,0
74,31.0,78.25,211,155,211,104,51,0,0
75,31.0,78.5,211,155,211,100,55,0,0
76,31.0,78.75,207,159,207,104,55,0,0
77,31.0,79.0,198,168,198,123,45,0,0
78,31.0,79.25,205,161,205,117,43,1,0
79,31.0,79.5,218,148,218,105,42,1,0
80,31.0,79.75,228,138,228,97,40,1,0
81,31.25,78.25,255,111,255,74,36,1,0
82,31.25,79.0,201,165,201,116,49,0,0
